케이스ID,풍속(m/s),비행고도(m),2D이동거리(m),시뮬레이션전체시간(s),배터리소모율(%),총회전량(deg)
case002,0,50,500,172,20.9,30
case002,0,50,500,172,20.77,30
case002,0,50,500,172,21.05,30
case002,0,50,500,172,21.16,30
case002,0,50,500,172,21.0,30
case002,0,50,500,172,21.06,30
case002,0,50,500,172,20.57,30
case002,0,50,500,172,20.58,30
case002,0,50,500,172,20.99,30
case002,0,50,500,172,21.06,30
case003,0,50,1000,244,31.46,180
case003,0,50,1000,244,32.2,180
case003,0,50,1000,244,32.01,180
case003,0,50,1000,244,31.79,180
case003,0,50,1000,244,31.64,180
case003,0,50,1000,244,31.98,180
case003,0,50,1000,244,32.44,180
case003,0,50,1000,244,32.42,180
case003,0,50,1000,244,31.88,180
case003,0,50,1000,244,31.97,180
case004,0,100,500,240,31.59,180
case004,0,100,500,240,31.56,180
case004,0,100,500,240,31.66,180
case004,0,100,500,240,30.96,180
case004,0,100,500,240,31.38,180
case004,0,100,500,240,31.83,180
case004,0,100,500,240,31.23,180
case004,0,100,500,240,31.07,180
case004,0,100,500,240,31.76,180
case004,0,100,500,240,31.33,180
case005,0,100,1000,292,39.09,90
case005,0,100,1000,292,38.54,90
case005,0,100,1000,292,39.21,90
case005,0,100,1000,292,38.87,90
case005,0,100,1000,292,39.53,90
case005,0,100,1000,292,38.28,90
case005,0,100,1000,292,38.34,90
case005,0,100,1000,292,39.25,90
case005,0,100,1000,292,38.89,90
case005,0,100,1000,292,38.23,90
case006,0,200,500,334,45.49,180
case006,0,200,500,334,45.96,180
case006,0,200,500,334,44.61,180
case006,0,200,500,334,45.1,180
case006,0,200,500,334,45.35,180
case006,0,200,500,334,45.51,180
case006,0,200,500,334,45.84,180
case006,0,200,500,334,45.82,180
case006,0,200,500,334,44.53,180
case006,0,200,500,334,44.75,180
case007,0,200,1000,427,59.68,720
case007,0,200,1000,427,60.4,720
case007,0,200,1000,427,58.75,720
case007,0,200,1000,427,59.02,720
case007,0,200,1000,427,59.31,720
case007,0,200,1000,427,58.19,720
case007,0,200,1000,427,59.04,720
case007,0,200,1000,427,58.8,720
case007,0,200,1000,427,59.84,720
case007,0,200,1000,427,59.55,720
case008,5,50,0,75,8.55,0
case008,5,50,0,75,8.63,0
case008,5,50,0,75,8.62,0
case008,5,50,0,75,8.85,0
case008,5,50,0,75,8.81,0
case008,5,50,0,75,8.62,0
case008,5,50,0,75,8.67,0
case008,5,50,0,75,8.74,0
case008,5,50,0,75,8.56,0
case008,5,50,0,75,8.61,0
case009,5,50,500,287,38.78,180
case009,5,50,500,287,37.99,180
case009,5,50,500,287,37.61,180
case009,5,50,500,287,37.76,180
case009,5,50,500,287,38.52,180
case009,5,50,500,287,38.83,180
case009,5,50,500,287,38.02,180
case009,5,50,500,287,38.52,180
case009,5,50,500,287,38.97,180
case009,5,50,500,287,38.98,180
case010,5,50,1000,432,59.89,60
case010,5,50,1000,432,60.95,60
case010,5,50,1000,432,60.86,60
case010,5,50,1000,432,60.73,60
case010,5,50,1000,432,59.13,60
case010,5,50,1000,432,59.24,60
case010,5,50,1000,432,60.97,60
case010,5,50,1000,432,60.27,60
case010,5,50,1000,432,58.88,60
case010,5,50,1000,432,59.33,60
case011,5,100,500,330,44.01,270
case011,5,100,500,330,45.28,270
case011,5,100,500,330,44.84,270
case011,5,100,500,330,44.6,270
case011,5,100,500,330,44.34,270
case011,5,100,500,330,43.79,270
case011,5,100,500,330,44.35,270
case011,5,100,500,330,44.35,270
case011,5,100,500,330,44.1,270
case011,5,100,500,330,45.14,270
case012,5,100,1000,589,83.69,720
case012,5,100,1000,589,83.15,720
case012,5,100,1000,589,86.11,720
case012,5,100,1000,589,85.14,720
case012,5,100,1000,589,85.41,720
case012,5,100,1000,589,83.68,720
case012,5,100,1000,589,83.82,720
case012,5,100,1000,589,85.24,720
case012,5,100,1000,589,83.39,720
case012,5,100,1000,589,83.27,720
case013,5,200,500,374,51.91,30
case013,5,200,500,374,51.69,30
case013,5,200,500,374,51.79,30
case013,5,200,500,374,51.93,30
case013,5,200,500,374,51.38,30
case013,5,200,500,374,51.54,30
case013,5,200,500,374,50.69,30
case013,5,200,500,374,50.28,30
case013,5,200,500,374,50.95,30
case013,5,200,500,374,51.0,30
case014,5,200,1000,560,80.5,180
case014,5,200,1000,560,79.74,180
case014,5,200,1000,560,80.08,180
case014,5,200,1000,560,81.23,180
case014,5,200,1000,560,79.45,180
case014,5,200,1000,560,81.18,180
case014,5,200,1000,560,81.64,180
case014,5,200,1000,560,79.92,180
case014,5,200,1000,560,80.44,180
case014,5,200,1000,560,81.14,180
case016,3,50,500,154,19.42,90
case016,3,50,500,154,19.26,90
case016,3,50,500,154,19.43,90
case016,3,50,500,154,19.34,90
case016,3,50,500,154,19.45,90
case016,3,50,500,154,19.9,90
case016,3,50,500,154,19.69,90
case016,3,50,500,154,19.72,90
case016,3,50,500,154,19.26,90
case016,3,50,500,154,19.81,90
case018,3,100,0,156,19.9,270
case018,3,100,0,156,20.02,270
case018,3,100,0,156,19.64,270
case018,3,100,0,156,19.69,270
case018,3,100,0,156,19.76,270
case018,3,100,0,156,20.2,270
case018,3,100,0,156,19.52,270
case018,3,100,0,156,19.83,270
case018,3,100,0,156,20.11,270
case018,3,100,0,156,19.68,270
case019,3,100,500,245,31.74,720
case019,3,100,500,245,32.67,720
case019,3,100,500,245,32.64,720
case019,3,100,500,245,32.98,720
case019,3,100,500,245,32.88,720
case019,3,100,500,245,32.44,720
case019,3,100,500,245,32.39,720
case019,3,100,500,245,32.58,720
case019,3,100,500,245,32.95,720
case019,3,100,500,245,32.62,720
case020,3,100,1000,326,44.57,0
case020,3,100,1000,326,44.03,0
case020,3,100,1000,326,44.28,0
case020,3,100,1000,326,43.14,0
case020,3,100,1000,326,43.46,0
case020,3,100,1000,326,44.32,0
case020,3,100,1000,326,44.87,0
case020,3,100,1000,326,44.09,0
case020,3,100,1000,326,43.77,0
case020,3,100,1000,326,44.55,0
case021,3,50,0,78,9.1,180
case021,3,50,0,78,9.32,180
case021,3,50,0,78,9.34,180
case021,3,50,0,78,9.24,180
case021,3,50,0,78,9.09,180
case021,3,50,0,78,9.2,180
case021,3,50,0,78,9.36,180
case021,3,50,0,78,9.01,180
case021,3,50,0,78,9.16,180
case021,3,50,0,78,9.14,180
case024,3,100,500,240,31.77,720
case024,3,100,500,240,31.75,720
case024,3,100,500,240,31.23,720
case024,3,100,500,240,31.32,720
case024,3,100,500,240,31.62,720
case024,3,100,500,240,30.86,720
