단어,빈도수
이후,2
이,6
지역,2
관리,2
지배권,1
위해,1
삼남,1
주민,1
이주,1
토관,1
제도,2
등,1
실시,1
세종,12
즉위,1
초,1
법전,2
정비,2
힘,1
육전,4
의,3
편찬,2
목적,1
찬색,2
설치,1
찬,1
직접,1
참여,1
음력,1
완성,2
책,2
등록,2
신찬,1
권,2
개수,1
계속,1
사업,1
완결,1
그,1
형벌,1
흠휼,1
정책,2
시행,1
양옥,1
옥,1
남옥,1
여옥,1
관,1
구체,1
옥도,1
를,1
각,1
도,1
반포,1
옥수,1
더위,1
추위,1
위생,1
유지,1
위,1
법,3
유시,1
이외,1
죄수,2
자식,1
부양,1
것,3
유배,1
중,2
부모,1
만날,1
수,1
지시,2
종래,1
세법,1
답험,1
손실,1
부정,1
농민,1
폐해,1
막심,1
때문,1
전폐,1
결,1
징수,1
시안,1
문무,1
백관,1
촌민,1
약,1
명,1
대상,1
여론,1
조사,1
찬성,1
대한,1
반대,1
문제점,1
제기,1
결론,1
얻지,1
나라,1
노인,4
우대,1
쌀,1
의복,1
휼,1
때로는,1
양로,2
연,2
위로,2
승정원,2
초대,1
천민,1
참석,3
중지,1
요구,1
상소,1
일,1
신분,1
관계,1
죄,1
지은,1
자가,1
모두,1
임금,1
말,1
숭불,1
유학자,1
반발,1
거,1
개,1
의치,1
궁궐,1
내,1
법당,1
조성,1
불사,1
중창,1
법회,1
먼저,1
가족,1
넋,1
재위,1
훈민정음,1
창제,1
병,1
건강,1
상황,1
언어학,1
연구,1
전념,1
생일,1
업적,1
